dgbas_id,name
1000101-003,赤松里
1000101-004,黃石里
1000101-005,挹秀里
1000101-006,湳興里
1000101-007,新興里
1000101-008,社後里
1000101-009,香社里
1000101-010,中正里
1000101-011,自強里
1000101-012,自立里
1000101-013,光華里
1000101-014,國光里
1000101-015,港尾里
1000101-016,金華里
1000101-017,港德里
1000101-018,民權里
1000101-019,建國里
1000101-020,漢生里
1000101-021,公舘里
1000101-022,新民里
1000101-023,幸福里
1000101-024,忠誠里
1000101-025,百壽里
1000101-026,介壽里
1000101-027,新埔里
1000101-028,華江里
1000101-029,江翠里
1000101-030,純翠里
1000101-031,溪頭里
1000101-032,聯翠里
1000101-033,宏翠里
1000101-034,仁翠里
1000101-035,新翠里
1000101-036,吉翠里
1000101-037,德翠里
1000101-038,滿翠里
1000101-039,明翠里
1000101-040,松翠里
1000101-041,柏翠里
1000101-042,龍翠里
1000101-043,華翠里
1000101-044,忠翠里
1000101-045,嵐翠里
1000101-046,文翠里
1000101-047,青翠里
1000101-048,懷翠里
1000101-049,福翠里
1000101-050,港嘴里
1000101-051,振興里
1000101-052,振義里
1000101-053,光復里
1000101-054,埔墘里
1000101-055,長壽里
1000101-056,福壽里
1000101-057,海山里
1000101-058,九如里
1000101-059,玉光里
1000101-060,光仁里
1000101-061,埤墘里
1000101-062,永安里
1000101-063,雙玉里
1000101-064,廣新里
1000101-065,深丘里
1000101-066,香丘里
1000101-067,西安里
1000101-068,東丘里
1000101-069,長安里
1000101-070,福丘里
1000101-071,福祿里
1000101-072,民族里
1000101-073,國泰里
1000101-074,福德里
1000101-075,景星里
1000101-076,福星里
1000101-077,鄉雲里
1000101-078,廣德里
1000101-079,大豐里
1000101-080,重慶里
1000101-081,仁愛里
1000101-082,和平里
1000101-083,廣福里
1000101-084,華興里
1000101-085,華貴里
1000101-086,華德里
1000101-087,華東里
1000101-088,信義里
1000101-089,浮洲里
1000101-090,華中里
1000101-091,僑中里
1000101-092,中山里
1000101-093,復興里
1000101-094,大安里
1000101-095,福安里
1000101-096,聚安里
1000101-097,龍安里
1000101-098,崑崙里
1000101-099,溪洲里
1000101-100,溪北里
1000101-101,香雅里
1000101-102,新生里
1000101-103,文德里
1000101-104,文化里
1000101-105,新海里
1000101-106,莒光里
1000101-107,富貴里
1000101-108,正泰里
1000101-109,民生里
1000101-110,後埔里
1000101-111,華福里
1000101-112,堂春里
1000101-113,成和里
1000101-114,光榮里
1000101-115,民安里
1000101-116,陽明里
1000101-117,朝陽里
1000101-118,松柏里
1000101-119,文聖里
1000101-120,居仁里
1000101-121,莊敬里
1000101-122,東安里
1000101-123,五權里
1000101-124,溪福里
1000101-125,大觀里
1000101-126,歡園里
1000102-001,大有里
1000102-002,二重里
1000102-003,頂崁里
1000102-004,谷王里
1000102-005,中興里
1000102-006,德厚里
1000102-007,成功里
1000102-008,福祉里
1000102-009,福民里
1000102-010,過田里
1000102-011,錦田里
1000102-012,重明里
1000102-013,光田里
1000102-014,光陽里
1000102-015,田心里
1000102-016,福田里
1000102-017,田中里
1000102-018,田安里
1000102-019,三民里
1000102-020,光明里
1000102-021,光正里
1000102-022,同安里
1000102-023,同慶里
1000102-024,菜寮里
1000102-025,永春里
