name,dgbas_id
五股區霞雲里,6801300-004
五股區高義里,6801300-010
仁德區,6702700
仁德區三光里,6801300-006
仁德區三民里,6801300-001
仁德區奎輝里,6801300-007
仁德區澤仁里,6801300-002
仁德區羅浮里,6801300-009
仁德區義盛里,6801300-003
仁德區華陵里,6801300-008
西屯區,6600600
仁德區長興里,6801300-005
仁德區霞雲里,6801300-004
仁德區高義里,6801300-010
仁愛區,1001704
仁愛區三光里,6801300-006
仁愛區三民里,6801300-001
仁愛區奎輝里,6801300-007
仁愛區澤仁里,6801300-002
仁愛區羅浮里,6801300-009
仁愛區義盛里,6801300-003
仁愛區華陵里,6801300-008
仁愛區長興里,6801300-005
仁愛區霞雲里,6801300-004
仁愛區高義里,6801300-010
仁愛鄉,1000813
仁愛鄉三光里,6801300-006
仁愛鄉三民里,6801300-001
仁愛鄉奎輝里,6801300-007
仁愛鄉澤仁里,6801300-002
仁愛鄉羅浮里,6801300-009
仁愛鄉義盛里,6801300-003
仁愛鄉華陵里,6801300-008
仁愛鄉長興里,6801300-005
仁愛鄉霞雲里,6801300-004
仁愛鄉高義里,6801300-010
仁武區,6401700
仁武區三光里,6801300-006
仁武區三民里,6801300-001
仁武區奎輝里,6801300-007
仁武區澤仁里,6801300-002
仁武區羅浮里,6801300-009
仁武區義盛里,6801300-003
仁武區華陵里,6801300-008
仁武區長興里,6801300-005
仁武區霞雲里,6801300-004
仁武區高義里,6801300-010
伸港鄉,1000705
伸港鄉三光里,6801300-006
伸港鄉三民里,6801300-001
伸港鄉奎輝里,6801300-007
伸港鄉澤仁里,6801300-002
伸港鄉羅浮里,6801300-009
伸港鄉義盛里,6801300-003
伸港鄉華陵里,6801300-008
伸港鄉長興里,6801300-005
伸港鄉霞雲里,6801300-004
伸港鄉高義里,6801300-010
佳冬鄉,1001321
佳冬鄉三光里,6801300-006
佳冬鄉三民里,6801300-001
佳冬鄉奎輝里,6801300-007
佳冬鄉澤仁里,6801300-002
佳冬鄉羅浮里,6801300-009
佳冬鄉義盛里,6801300-003
佳冬鄉華陵里,6801300-008
佳冬鄉長興里,6801300-005
佳冬鄉霞雲里,6801300-004
佳冬鄉高義里,6801300-010
佳里區,6701200
佳里區三光里,6801300-006
佳里區三民里,6801300-001
佳里區奎輝里,6801300-007
佳里區澤仁里,6801300-002
佳里區羅浮里,6801300-009
佳里區義盛里,6801300-003
佳里區華陵里,6801300-008
佳里區長興里,6801300-005
佳里區霞雲里,6801300-004
佳里區高義里,6801300-010
來義鄉,1001330
來義鄉三光里,6801300-006
來義鄉三民里,6801300-001
來義鄉奎輝里,6801300-007
來義鄉澤仁里,6801300-002
來義鄉羅浮里,6801300-009
來義鄉義盛里,6801300-003
來義鄉華陵里,6801300-008
來義鄉長興里,6801300-005
來義鄉霞雲里,6801300-004
來義鄉高義里,6801300-010
信義鄉,1000812
信義鄉三光里,6801300-006
信義鄉三民里,6801300-001
信義鄉奎輝里,6801300-007
信義鄉澤仁里,6801300-002
信義鄉羅浮里,6801300-009
信義鄉義盛里,6801300-003
信義鄉華陵里,6801300-008
信義鄉長興里,6801300-005
信義鄉霞雲里,6801300-004
信義鄉高義里,6801300-010
元長鄉,1000917
元長鄉三光里,6801300-006
元長鄉三民里,6801300-001
元長鄉奎輝里,6801300-007
元長鄉澤仁里,6801300-002
元長鄉羅浮里,6801300-009
元長鄉義盛里,6801300-003
路竹區,6402400
元長鄉華陵里,6801300-008
元長鄉長興里,6801300-005
元長鄉霞雲里,6801300-004
元長鄉高義里,6801300-010
光復鄉,1001507
光復鄉三光里,6801300-006
光復鄉三民里,6801300-001
光復鄉奎輝里,6801300-007
光復鄉澤仁里,6801300-002
光復鄉羅浮里,6801300-009
光復鄉義盛里,6801300-003
光復鄉華陵里,6801300-008
光復鄉長興里,6801300-005
光復鄉霞雲里,6801300-004
光復鄉高義里,6801300-010
內埔鄉,1001313
內埔鄉三光里,6801300-006
內埔鄉三民里,6801300-001
內埔鄉奎輝里,6801300-007
內埔鄉澤仁里,6801300-002
內埔鄉羅浮里,6801300-009
內埔鄉義盛里,6801300-003
內埔鄉華陵里,6801300-008
內埔鄉長興里,6801300-005
內埔鄉霞雲里,6801300-004
內埔鄉高義里,6801300-010
內湖區,6301000
內湖區三光里,6801300-006
內湖區三民里,6801300-001
內湖區奎輝里,6801300-007
內湖區澤仁里,6801300-002
內湖區羅浮里,6801300-009
內湖區義盛里,6801300-003
內湖區華陵里,6801300-008
內湖區長興里,6801300-005
內湖區霞雲里,6801300-004
內湖區高義里,6801300-010
內門區,6403500
內門區三光里,6801300-006
內門區三民里,6801300-001
內門區奎輝里,6801300-007
內門區澤仁里,6801300-002
內門區羅浮里,6801300-009
內門區義盛里,6801300-003
內門區華陵里,6801300-008
內門區長興里,6801300-005
內門區霞雲里,6801300-004
內門區高義里,6801300-010
八德區,6800800
八德區三光里,6801300-006
八德區三民里,6801300-001
八德區奎輝里,6801300-007
八德區澤仁里,6801300-002
八德區羅浮里,6801300-009
八德區義盛里,6801300-003
八德區華陵里,6801300-008
八德區長興里,6801300-005
八德區霞雲里,6801300-004
八德區高義里,6801300-010
八里區,6502300
八里區三光里,6801300-006
八里區三民里,6801300-001
八里區奎輝里,6801300-007
八里區澤仁里,6801300-002
八里區羅浮里,6801300-009
八里區義盛里,6801300-003
八里區華陵里,6801300-008
八里區長興里,6801300-005
八里區霞雲里,6801300-004
八里區高義里,6801300-010
公館鄉,1000509
公館鄉三光里,6801300-006
公館鄉三民里,6801300-001
公館鄉奎輝里,6801300-007
公館鄉澤仁里,6801300-002
公館鄉羅浮里,6801300-009
公館鄉義盛里,6801300-003
公館鄉華陵里,6801300-008
公館鄉長興里,6801300-005
公館鄉霞雲里,6801300-004
公館鄉高義里,6801300-010
六甲區,6700900
六甲區三光里,6801300-006
六甲區三民里,6801300-001
六甲區奎輝里,6801300-007
六甲區澤仁里,6801300-002
六甲區羅浮里,6801300-009
六甲區義盛里,6801300-003
六甲區華陵里,6801300-008
六甲區長興里,6801300-005
六甲區霞雲里,6801300-004
六甲區高義里,6801300-010
六腳鄉,1001008
六腳鄉三光里,6801300-006
六腳鄉三民里,6801300-001
六腳鄉奎輝里,6801300-007
六腳鄉澤仁里,6801300-002
六腳鄉羅浮里,6801300-009
六腳鄉義盛里,6801300-003
六腳鄉華陵里,6801300-008
六腳鄉長興里,6801300-005
六腳鄉霞雲里,6801300-004
六腳鄉高義里,6801300-010
六龜區,6403200
六龜區三光里,6801300-006
六龜區三民里,6801300-001
六龜區奎輝里,6801300-007
六龜區澤仁里,6801300-002
六龜區羅浮里,6801300-009
六龜區義盛里,6801300-003
六龜區華陵里,6801300-008
六龜區長興里,6801300-005
六龜區霞雲里,6801300-004
六龜區高義里,6801300-010
冬山鄉,1000208
冬山鄉三光里,6801300-006
冬山鄉三民里,6801300-001
冬山鄉奎輝里,6801300-007
冬山鄉澤仁里,6801300-002
冬山鄉羅浮里,6801300-009
冬山鄉義盛里,6801300-003
冬山鄉華陵里,6801300-008
冬山鄉長興里,6801300-005
冬山鄉霞雲里,6801300-004
冬山鄉高義里,6801300-010
前金區,6400700
前金區三光里,6801300-006
前金區三民里,6801300-001
前金區奎輝里,6801300-007
前金區澤仁里,6801300-002
前金區羅浮里,6801300-009
前金區義盛里,6801300-003
前金區華陵里,6801300-008
前金區霞雲里,6801300-004
前金區高義里,6801300-010
前鎮區,6400900
前鎮區三光里,6801300-006
前鎮區三民里,6801300-001
前鎮區奎輝里,6801300-007
前鎮區澤仁里,6801300-002
前鎮區羅浮里,6801300-009
前鎮區義盛里,6801300-003
前鎮區華陵里,6801300-008
前鎮區長興里,6801300-005
前鎮區霞雲里,6801300-004
前鎮區高義里,6801300-010
北埔鄉,1000409
北埔鄉三光里,6801300-006
北埔鄉三民里,6801300-001
北埔鄉奎輝里,6801300-007
北埔鄉澤仁里,6801300-002
北埔鄉羅浮里,6801300-009
北埔鄉義盛里,6801300-003
北埔鄉華陵里,6801300-008
北埔鄉長興里,6801300-005
北埔鄉霞雲里,6801300-004
北埔鄉高義里,6801300-010
北屯區,6600800
北屯區三民里,6801300-001
北屯區奎輝里,6801300-007
北屯區澤仁里,6801300-002
北屯區羅浮里,6801300-009
北屯區義盛里,6801300-003
北屯區華陵里,6801300-008
北屯區長興里,6801300-005
北屯區霞雲里,6801300-004
北屯區高義里,6801300-010
北投區,6301200
北投區三光里,6801300-006
北投區三民里,6801300-001
北投區奎輝里,6801300-007
北投區澤仁里,6801300-002
北投區羅浮里,6801300-009
北投區義盛里,6801300-003
北投區華陵里,6801300-008
北投區長興里,6801300-005
北投區霞雲里,6801300-004
北投區高義里,6801300-010
北斗鎮,1000719
北斗鎮三光里,6801300-006
北斗鎮三民里,6801300-001
北斗鎮奎輝里,6801300-007
北斗鎮澤仁里,6801300-002
北斗鎮羅浮里,6801300-009
北斗鎮義盛里,6801300-003
北斗鎮華陵里,6801300-008
北斗鎮長興里,6801300-005
北斗鎮霞雲里,6801300-004
北斗鎮高義里,6801300-010
北港鎮,1000906
北港鎮三光里,6801300-006
北港鎮三民里,6801300-001
北港鎮奎輝里,6801300-007
北港鎮澤仁里,6801300-002
北港鎮羅浮里,6801300-009
北港鎮義盛里,6801300-003
北港鎮華陵里,6801300-008
北港鎮長興里,6801300-005
北港鎮霞雲里,6801300-004
北港鎮高義里,6801300-010
北竿鄉,0900702
北竿鄉三光里,6801300-006
北竿鄉三民里,6801300-001
北竿鄉奎輝里,6801300-007
北竿鄉澤仁里,6801300-002
北竿鄉羅浮里,6801300-009
北竿鄉義盛里,6801300-003
北竿鄉華陵里,6801300-008
北竿鄉長興里,6801300-005
北竿鄉霞雲里,6801300-004
北竿鄉高義里,6801300-010
北門區,6701700
北門區三民里,6801300-001
北門區奎輝里,6801300-007
北門區澤仁里,6801300-002
北門區羅浮里,6801300-009
北門區義盛里,6801300-003
北門區華陵里,6801300-008
北門區長興里,6801300-005
北門區霞雲里,6801300-004
北門區高義里,6801300-010
卑南鄉,1001404
卑南鄉三光里,6801300-006
卑南鄉三民里,6801300-001
卑南鄉奎輝里,6801300-007
卑南鄉澤仁里,6801300-002
卑南鄉羅浮里,6801300-009
卑南鄉義盛里,6801300-003
卑南鄉華陵里,6801300-008
卑南鄉長興里,6801300-005
卑南鄉霞雲里,6801300-004
卑南鄉高義里,6801300-010
卓溪鄉,1001513
卓溪鄉三光里,6801300-006
卓溪鄉三民里,6801300-001
卓溪鄉奎輝里,6801300-007
卓溪鄉澤仁里,6801300-002
卓溪鄉羅浮里,6801300-009
卓溪鄉義盛里,6801300-003
卓溪鄉華陵里,6801300-008
卓溪鄉長興里,6801300-005
卓溪鄉霞雲里,6801300-004
卓溪鄉高義里,6801300-010
卓蘭鎮,1000507
卓蘭鎮三光里,6801300-006
卓蘭鎮三民里,6801300-001
卓蘭鎮奎輝里,6801300-007
卓蘭鎮澤仁里,6801300-002
卓蘭鎮羅浮里,6801300-009
卓蘭鎮義盛里,6801300-003
卓蘭鎮華陵里,6801300-008
卓蘭鎮長興里,6801300-005
卓蘭鎮霞雲里,6801300-004
卓蘭鎮高義里,6801300-010
南化區,6702500
南化區三光里,6801300-006
南化區三民里,6801300-001
南化區奎輝里,6801300-007
南化區澤仁里,6801300-002
南化區羅浮里,6801300-009
南化區義盛里,6801300-003
南化區華陵里,6801300-008
南化區長興里,6801300-005
南化區霞雲里,6801300-004
南化區高義里,6801300-010
南屯區,6600700
南屯區三光里,6801300-006
南屯區三民里,6801300-001
南屯區奎輝里,6801300-007
南屯區澤仁里,6801300-002
南屯區羅浮里,6801300-009
南屯區義盛里,6801300-003
南屯區華陵里,6801300-008
南屯區長興里,6801300-005
南屯區霞雲里,6801300-004
南屯區高義里,6801300-010
南州鄉,1001320
南州鄉三光里,6801300-006
南州鄉三民里,6801300-001
南州鄉奎輝里,6801300-007
南州鄉澤仁里,6801300-002
南州鄉羅浮里,6801300-009
南州鄉義盛里,6801300-003
南州鄉華陵里,6801300-008
南州鄉長興里,6801300-005
南州鄉霞雲里,6801300-004
南州鄉高義里,6801300-010
南庄鄉,1000511
南庄鄉三光里,6801300-006
南庄鄉三民里,6801300-001
南庄鄉奎輝里,6801300-007
南庄鄉澤仁里,6801300-002
南庄鄉羅浮里,6801300-009
南庄鄉義盛里,6801300-003
南庄鄉華陵里,6801300-008
南庄鄉長興里,6801300-005
南庄鄉霞雲里,6801300-004
南庄鄉高義里,6801300-010
南投市,1000801
南投市三光里,6801300-006
南投市奎輝里,6801300-007
南投市澤仁里,6801300-002
南投市羅浮里,6801300-009
南投市義盛里,6801300-003
南投市華陵里,6801300-008
南投市長興里,6801300-005
南投市霞雲里,6801300-004
南投市高義里,6801300-010
南投縣,10008
南投縣中寮鄉,1000808
南投縣中寮鄉中寮村,1000808-008
南投縣中寮鄉內城村,1000808-016
南投縣中寮鄉八仙村,1000808-003
南投縣中寮鄉和興村,1000808-004
南投縣中寮鄉崁頂村,1000808-002
南投縣中寮鄉廣福村,1000808-009
南投縣中寮鄉廣興村,1000808-001
南投縣中寮鄉復興村,1000808-007
南投縣中寮鄉永和村,1000808-015
南投縣中寮鄉永平村,1000808-006
南投縣中寮鄉永福村,1000808-010
南投縣中寮鄉永芳村,1000808-017
南投縣中寮鄉清水村,1000808-012
南投縣中寮鄉爽文村,1000808-018
南投縣中寮鄉福盛村,1000808-005
南投縣中寮鄉義和村,1000808-011
南投縣中寮鄉龍安村,1000808-013
南投縣中寮鄉龍岩村,1000808-014
南投縣仁愛鄉,1000813
南投縣仁愛鄉中正村,1000813-002
南投縣仁愛鄉互助村,1000813-003
南投縣仁愛鄉力行村,1000813-005
南投縣仁愛鄉南豐村,1000813-010
南投縣仁愛鄉合作村,1000813-007
南投縣仁愛鄉大同村,1000813-009
南投縣仁愛鄉新生村,1000813-004
南投縣仁愛鄉春陽村,1000813-011
南投縣仁愛鄉榮興村,1000813-014
南投縣仁愛鄉法治村,1000813-001
南投縣仁愛鄉發祥村,1000813-006
南投縣仁愛鄉精英村,1000813-012
南投縣仁愛鄉翠華村,1000813-015
南投縣仁愛鄉萬豐村,1000813-013
南投縣仁愛鄉親愛村,1000813-008
南投縣仁愛鄉都達村,1000813-016
南投縣信義鄉,1000812
南投縣信義鄉人和村,1000812-001
南投縣信義鄉同富村,1000812-009
南投縣信義鄉地利村,1000812-002
南投縣信義鄉愛國村,1000812-005
南投縣信義鄉新鄉村,1000812-013
南投縣信義鄉明德村,1000812-004
南投縣信義鄉望美村,1000812-008
南投縣信義鄉東埔村,1000812-011
南投縣信義鄉潭南村,1000812-003
南投縣信義鄉神木村,1000812-010
南投縣信義鄉羅娜村,1000812-007
南投縣信義鄉自強村,1000812-006
南投縣信義鄉豐丘村,1000812-014
南投縣信義鄉雙龍村,1000812-012
南投縣南投市,1000801
南投縣南投市三和里,1000801-016
南投縣南投市三民里,1000801-003
南投縣南投市三興里,1000801-015
南投縣南投市仁和里,1000801-004
南投縣南投市光明里,1000801-033
南投縣南投市光榮里,1000801-032
南投縣南投市光華里,1000801-031
南投縣南投市光輝里,1000801-034
南投縣南投市內新里,1000801-030
南投縣南投市內興里,1000801-029
南投縣南投市千秋里,1000801-014
南投縣南投市南投里,1000801-005
南投縣南投市嘉和里,1000801-018
南投縣南投市嘉興里,1000801-017
南投縣南投市崇文里,1000801-007
南投縣南投市平和里,1000801-012
南投縣南投市平山里,1000801-023
南投縣南投市康壽里,1000801-002
南投縣南投市彰仁里,1000801-006
南投縣南投市振興里,1000801-013
南投縣南投市新興里,1000801-024
南投縣南投市東山里,1000801-011
南投縣南投市永興里,1000801-020
南投縣南投市永豐里,1000801-025
南投縣南投市漳和里,1000801-009
南投縣南投市漳興里,1000801-008
南投縣南投市營北里,1000801-027
南投縣南投市營南里,1000801-028
南投縣南投市福山里,1000801-019
南投縣南投市福興里,1000801-026
南投縣南投市軍功里,1000801-010
南投縣南投市鳳山里,1000801-022
南投縣南投市鳳鳴里,1000801-021
南投縣南投市龍泉里,1000801-001
南投縣名間鄉,1000806
南投縣名間鄉三崙村,1000806-016
南投縣名間鄉中山村,1000806-003
南投縣名間鄉中正村,1000806-002
南投縣名間鄉仁和村,1000806-023
南投縣名間鄉南雅村,1000806-001
南投縣名間鄉埔中村,1000806-019
南投縣名間鄉大坑村,1000806-013
南投縣名間鄉大庄村,1000806-011
南投縣名間鄉崁腳村,1000806-020
南投縣名間鄉廍下村,1000806-012
南投縣名間鄉新光村,1000806-022
南投縣名間鄉新厝村,1000806-021
南投縣名間鄉新民村,1000806-006
南投縣名間鄉新街村,1000806-007
南投縣名間鄉東湖村,1000806-008
南投縣名間鄉松山村,1000806-017
南投縣名間鄉松柏村,1000806-018
南投縣名間鄉濁水村,1000806-004
南投縣名間鄉炭寮村,1000806-005
南投縣名間鄉田仔村,1000806-010
南投縣名間鄉竹圍村,1000806-014
南投縣名間鄉萬丹村,1000806-009
南投縣名間鄉赤水村,1000806-015
南投縣國姓鄉,1000810
南投縣國姓鄉乾溝村,1000810-008
南投縣國姓鄉北山村,1000810-010
南投縣國姓鄉北港村,1000810-004
南投縣國姓鄉南港村,1000810-011
南投縣國姓鄉國姓村,1000810-001
南投縣國姓鄉大旗村,1000810-003
南投縣國姓鄉大石村,1000810-012
南投縣國姓鄉柑林村,1000810-009
南投縣國姓鄉石門村,1000810-002
南投縣國姓鄉福龜村,1000810-007
南投縣國姓鄉長流村,1000810-005
南投縣國姓鄉長福村,1000810-006
南投縣國姓鄉長豐村,1000810-013
南投縣埔里鎮,1000802
南投縣埔里鎮一新里,1000802-022
南投縣埔里鎮北安里,1000802-030
南投縣埔里鎮北梅里,1000802-032
南投縣埔里鎮北門里,1000802-004
南投縣埔里鎮南村里,1000802-017
南投縣埔里鎮南門里,1000802-002
南投縣埔里鎮史港里,1000802-024
南投縣埔里鎮合成里,1000802-029
南投縣埔里鎮同聲里,1000802-005
南投縣埔里鎮向善里,1000802-021
